Adjusted for Inflation Title,Adjusted for Inflation Notes,Year Date,Metric Filter,Format Value # (Billion),Format Value # (Million),Adjusted for Inflation Flag,Value (For Charting),Axis (1),Label for Button (Pie),Billions (Show Totals),Millions (Show Totals),Format (copy),Format,Metric,Number of Records,Year,Value (Actual),Value (Actual) (copy),Year (copy)
,,1973,Value,,,,,1,View Single Year,,,CD,CD,Units,1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,CD Single,CD Single,Units,1,1973,,,1973
,,1973,Value,,$15.0M,,15,1,View Single Year,,15.0M,Cassette,Cassette,Units,1,1973,$15M,$15M,1973
,,1973,Value,,,,,1,View Single Year,,,Cassette Single,Cassette Single,Units,1,1973,,,1973
,,1973,Value,,$280.0M,,280,1,View Single Year,,280.0M,LP/EP,LP/EP,Units,1,1973,$280M,$280M,1973
,,1973,Value,,$228.0M,,228,1,View Single Year,,228.0M,Vinyl Single,Vinyl Single,Units,1,1973,$228M,$228M,1973
,,1973,Value,,$91.0M,,91,1,View Single Year,,91.0M,8 - Track,8 - Track,Units,1,1973,$91M,$91M,1973
,,1973,Value,,$2.2M,,2.2,1,View Single Year,,2.2M,Other Tapes,Other Tapes,Units,1,1973,$2M,$2M,1973
,,1973,Value,,,,,1,View Single Year,,,Music Video (Physical),Music Video (Physical),Units,1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,DVD Audio,DVD Audio,Units,1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,SACD,SACD,Units,1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,Download Single,Download Single,Units,1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,Download Album,Download Album,Units,1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,Kiosk,Kiosk,Units,1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,Download Music Video,Download Music Video,Units,1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,Ringtones & Ringbacks,Ringtones & Ringbacks,Units,1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,,,Units,1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,Paid Subscriptions,Paid Subscriptions,Units,1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,CD,CD,Value,1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,CD Single,CD Single,Value,1,1973,,,1973
,,1973,Value,,$76.0M,,76,1,View Single Year,,76.0M,Cassette,Cassette,Value,1,1973,$76M,$76M,1973
,,1973,Value,,,,,1,View Single Year,,,Cassette Single,Cassette Single,Value,1,1973,,,1973
,,1973,Value,$1.2B,,,1246,1,View Single Year,1.2B,,LP/EP,LP/EP,Value,1,1973,"$1,246M","$1,246M",1973
,,1973,Value,,$190.0M,,190,1,View Single Year,,190.0M,Vinyl Single,Vinyl Single,Value,1,1973,$190M,$190M,1973
,,1973,Value,,$489.0M,,489,1,View Single Year,,489.0M,8 - Track,8 - Track,Value,1,1973,$489M,$489M,1973
,,1973,Value,,$15.6M,,15.6,1,View Single Year,,15.6M,Other Tapes,Other Tapes,Value,1,1973,$16M,$16M,1973
,,1973,Value,,,,,1,View Single Year,,,Music Video (Physical),Music Video (Physical),Value,1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,DVD Audio,DVD Audio,Value,1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,SACD,SACD,Value,1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,Download Single,Download Single,Value,1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,Download Album,Download Album,Value,1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,Kiosk,Kiosk,Value,1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,Download Music Video,Download Music Video,Value,1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,Ringtones & Ringbacks,Ringtones & Ringbacks,Value,1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,Other Digital,Other Digital,Value,1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,Paid Subscription,Paid Subscription,Value,1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,Limited Tier Paid Subscription,Limited Tier Paid Subscription,Value,1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,SoundExchange Distributions,SoundExchange Distributions,Value,1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,On-Demand Streaming (Ad-Supported),On-Demand Streaming (Ad-Supported),Value,1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,Other Ad-Supported Streaming,Other Ad-Supported Streaming,Value,1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,Synchronization,Synchronization,Value,1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,CD,CD,Value (Adjusted),1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,CD Single,CD Single,Value (Adjusted),1,1973,,,1973
,,1973,Value,,$419.6M,,419.574774775,1,View Single Year,,419.6M,Cassette,Cassette,Value (Adjusted),1,1973,$420M,$420M,1973
,,1973,Value,,,,,1,View Single Year,,,Cassette Single,Cassette Single,Value (Adjusted),1,1973,,,1973
,,1973,Value,$6.9B,,,6878.818018018,1,View Single Year,6.9B,,LP/EP,LP/EP,Value (Adjusted),1,1973,"$6,879M","$6,879M",1973
,,1973,Value,$1.0B,,,1048.936936937,1,View Single Year,1.0B,,Vinyl Single,Vinyl Single,Value (Adjusted),1,1973,"$1,049M","$1,049M",1973
,,1973,Value,$2.7B,,,2699.632432432,1,View Single Year,2.7B,,8 - Track,8 - Track,Value (Adjusted),1,1973,"$2,700M","$2,700M",1973
,,1973,Value,,$86.1M,,86.123243243,1,View Single Year,,86.1M,Other Tapes,Other Tapes,Value (Adjusted),1,1973,$86M,$86M,1973
,,1973,Value,,,,,1,View Single Year,,,Music Video (Physical),Music Video (Physical),Value (Adjusted),1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,DVD Audio,DVD Audio,Value (Adjusted),1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,SACD,SACD,Value (Adjusted),1,1973,,,1973
,,1973,Value,,,,,1,View Single Year,,,Download Single,Download Single,Value (Adjusted),1,1973,,,1973
